"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"2477",3.64539,8.45985,"Sandy Clay Loam",21,1.24,147.4,21.2,444.9,6.4,72.7,59.3,89,2,9,9,7.2,1.7,5.8,62,15,2.3
"2478",3.69304,8.45985,"Sandy Loam",20,1.23,147.4,21.2,402.4,5.7,80.5,65.7,89,1.7,9,9,5.7,1.7,5.9,61,17,3.1
"2479",3.74069,8.45985,"Sandy Loam",18,1.22,163,19.1,364,7.2,80.5,65.7,98.5,1.9,9,8,6.4,1.5,5.8,61,17,2.3
"2480",3.78834,8.45985,"Sandy Clay Loam",22,1.23,147.4,15.4,491.7,8,72.7,72.7,108.9,1.5,8,9,5.7,1.5,5.9,56,21,2.3
"2481",3.83599,8.45985,"Sandy Loam",17,1.24,180.3,19.1,329.3,7.2,65.7,59.3,89,1.6,8,9,6.4,1.5,5.9,65,16,2.7
"2482",3.88364,8.45985,"Sandy Clay Loam",20,1.27,147.4,19.1,329.3,8,65.7,72.7,89,1.9,10,8,7.2,1.7,6,57,17,2.7
"2483",3.93129,8.45985,"Sandy Loam",16,1.26,147.4,19.1,364,5.7,72.7,65.7,98.5,1.9,9,9,6.4,1.5,5.9,58,17,2.3
"2484",3.97894,8.45985,"Sandy Loam",20,1.22,147.4,21.2,402.4,7.2,72.7,65.7,89,2.1,10,8,6.4,1.7,5.8,61,14,2.7
"2485",4.0266,8.45985,"Sandy Loam",14,1.18,120.5,13.9,491.7,5,80.5,80.5,108.9,0.9,8,9,5.7,1.5,6.1,62,17,2.3
"2486",4.07425,8.45985,"Sandy Loam",12,1.26,147.4,15.4,444.9,5,72.7,80.5,89,0.8,8,9,6.4,1.7,6.1,65,17,3.5
"2487",4.1219,8.45985,"Sandy Loam",14,1.22,133.3,15.4,491.7,5.7,65.7,80.5,98.5,0.9,7.2,8,5.7,1.5,6.1,62,19,4.5
"2488",4.16955,8.45985,"Sandy Loam",13,1.31,108.9,15.4,491.7,5.7,65.7,80.5,89,0.8,7.2,8,5,1.7,6,69,18,4
"2489",4.2172,8.45985,"Sandy Loam",13,1.33,120.5,13.9,491.7,5,72.7,72.7,98.5,0.7,6.4,8,5.7,1.5,6,69,17,5
"2490",4.26735,8.46323,"Sandy Loam",11,1.28,108.9,12.5,444.9,4.5,72.7,65.7,89,0.6,6.4,7.2,6.4,1.7,6.1,75,16,4.5
"2491",4.3125,8.45985,"Sandy Loam",11,1.22,133.3,13.9,444.9,4.5,65.7,65.7,98.5,0.6,6.4,8,5,1.7,6,73,15,4
"2492",2.78766,8.50685,"Sandy Loam",19,1.24,133.3,17.2,444.9,6.4,80.5,72.7,98.5,1,7.2,8,5.7,1.2,6.1,63,19,3.1
"2493",2.83531,8.50685,"Sandy Loam",14,1.28,163,17.2,364,6.4,80.5,65.7,98.5,1.5,7.2,7.2,5.7,1.2,5.9,67,17,4
"2494",2.87805,8.49738,"Sandy Loam",16,1.25,163,19.1,402.4,5.7,72.7,65.7,89,1.3,8,8,5.7,1.2,6,67,18,3.1
"2495",2.93062,8.50685,"Sandy Loam",17,1.22,133.3,15.4,402.4,5.7,80.5,72.7,108.9,1,7.2,8,5.7,1.5,5.9,57,20,2
"2496",2.97827,8.50685,"Sandy Loam",12,1.23,133.3,15.4,491.7,5,72.7,72.7,108.9,0.9,7.2,7.2,5,1.7,6.1,64,17,3.1
"2497",3.02592,8.50685,"Sandy Loam",16,1.2,147.4,17.2,402.4,5.7,65.7,65.7,98.5,1.7,9,8,6.4,2,6.1,67,16,4.5
"2498",3.07357,8.50685,"Sandy Loam",16,1.19,133.3,17.2,444.9,5.7,65.7,65.7,108.9,1.1,7.2,8,5.7,1.5,6.1,63,20,2.3
"2499",3.12122,8.50685,"Sandy Loam",16,1.2,133.3,15.4,444.9,6.4,72.7,80.5,98.5,0.9,7.2,7.2,5,1.5,6,63,21,2.7
"2500",3.16887,8.50685,"Sandy Loam",12,1.23,147.4,19.1,491.7,6.4,65.7,65.7,98.5,1,8,8,5.7,1.7,6,65,17,3.5
"2501",3.21652,8.50685,"Sandy Loam",13,1.21,147.4,17.2,402.4,5.7,72.7,72.7,98.5,1.1,7.2,7.2,5.7,1.7,5.9,64,20,3.5
"2502",3.25983,8.50974,"Sandy Loam",15,1.21,133.3,19.1,543.6,5.7,65.7,80.5,108.9,0.9,8,7.2,5.7,1.7,6.2,67,19,4
"2503",3.31183,8.50685,"Sandy Loam",15,1.19,108.9,13.9,491.7,5.7,65.7,72.7,120.5,0.9,8,8,5.7,1.5,6.1,65,18,3.5
"2504",3.35948,8.50685,"Sandy Loam",14,1.23,120.5,15.4,600.8,7.2,72.7,80.5,133.3,0.9,7.2,9,5.7,1.7,6.1,65,18,3.1
"2505",3.40713,8.50685,"Sandy Loam",14,1.28,108.9,15.4,491.7,5.7,72.7,80.5,108.9,0.7,7.2,7.2,5.7,1.7,6.2,74,16,5
"2506",3.45478,8.50685,"Sandy Loam",14,1.27,120.5,13.9,543.6,5.7,72.7,80.5,108.9,0.7,7.2,6.4,4.5,2,6.1,64,17,3.1
"2507",3.49156,8.50685,"Sandy Loam",15,1.25,133.3,13.9,543.6,6.4,65.7,72.7,120.5,0.8,7.2,9,5,1.7,6.1,69,16,3.5
"2508",3.55008,8.50685,"Sandy Loam",13,1.22,163,17.2,444.9,5.7,72.7,72.7,108.9,1,8,9,5,1.7,6.1,65,19,4.5
"2509",3.59773,8.50685,"Sandy Loam",17,1.22,147.4,15.4,444.9,5,65.7,72.7,120.5,1.3,8,8,5,1.7,6,64,19,4.5
"2510",3.64539,8.50685,"Sandy Loam",15,1.15,133.3,13.9,491.7,6.4,72.7,80.5,120.5,1.2,7.2,8,5.7,2,6.2,67,18,4
"2511",3.69304,8.50685,"Sandy Clay Loam",21,1.2,133.3,19.1,364,6.4,89,65.7,80.5,1.4,9,9,6.4,1.7,5.8,56,19,1.7
"2512",3.74069,8.50685,"Sandy Loam",20,1.21,147.4,21.2,329.3,6.4,72.7,65.7,89,1.6,8,9,7.2,2.3,5.8,57,18,2.3
"2513",3.78834,8.50685,"Sandy Loam",19,1.21,147.4,17.2,402.4,6.4,65.7,65.7,98.5,1.4,9,9,6.4,1.5,5.8,58,20,2.7
"2514",3.83599,8.50685,"Sandy Loam",19,1.22,147.4,19.1,364,6.4,65.7,65.7,98.5,1.6,9,9,6.4,1.5,5.8,59,17,1.7
"2515",3.88364,8.50685,"Sandy Loam",19,1.26,163,19.1,329.3,7.2,80.5,59.3,89,1.7,9,9,7.2,1.5,5.9,61,17,3.1
"2516",3.93129,8.50685,"Sandy Loam",19,1.23,163,17.2,364,5.7,65.7,65.7,89,1.7,9,8,7.2,1.5,5.9,58,17,3.5
"2517",3.97894,8.50685,"Sandy Loam",20,1.28,163,23.5,364,5.7,72.7,59.3,80.5,1.8,10,10,6.4,2.3,5.8,60,15,2.3
"2518",4.0266,8.50685,"Sandy Loam",13,1.24,180.3,15.4,444.9,5.7,65.7,80.5,89,0.9,7.2,9,6.4,1.5,5.9,69,17,3.1
"2519",4.07425,8.50685,"Sandy Loam",14,1.28,147.4,15.4,491.7,5,65.7,72.7,98.5,0.8,7.2,8,5,1.5,6.2,69,16,3.5
"2520",4.1219,8.50685,"Sandy Loam",15,1.25,120.5,15.4,402.4,5,72.7,80.5,89,0.9,6.4,9,5.7,1.5,6,66,18,2.3
"2521",4.16955,8.50685,"Sandy Loam",11,1.29,108.9,13.9,491.7,5,65.7,72.7,80.5,0.7,6.4,8,5,1.5,6,66,16,4.5
"2522",4.21499,8.51262,"Sandy Loam",13,1.3,98.5,12.5,444.9,4.5,72.7,72.7,65.7,0.7,6.4,9,5.7,1.7,5.9,67,17,4
"2523",4.26485,8.50685,"Sandy Loam",14,1.27,133.3,15.4,402.4,5.7,80.5,89,89,0.8,6.4,9,5.7,1.2,6.1,60,17,2.3
"2524",2.78801,8.56121,"Sandy Loam",14,1.26,133.3,17.2,491.7,5.7,72.7,72.7,98.5,0.8,7.2,8,5,1.2,5.9,59,19,2
"2525",2.83531,8.55384,"Sandy Loam",14,1.23,163,15.4,402.4,6.4,65.7,59.3,80.5,0.9,7.2,8,5.7,1.2,5.9,65,16,4
"2526",2.88296,8.55384,"Sandy Loam",13,1.26,133.3,17.2,444.9,5,65.7,65.7,98.5,1,6.4,9,5.7,1.5,6,61,15,4.5
"2527",2.93132,8.56156,"Sandy Loam",13,1.26,133.3,17.2,444.9,5.7,72.7,72.7,98.5,0.8,7.2,9,4.5,1.2,5.9,68,17,2.3
